job_title,company,location,description,job_url,salary,company_logo,rating,experience,skills,source
EXCEL EXECUTIVE,EKTA ELECTRICALS,"Ghaziabad, Uttar Pradesh","* Develop and maintain complex Excel spreadsheets and models.
* Ensure data integrity and accuracy in all Excel-related tasks

Job Type: Full-time

Pay: ₹18,000.00 - ₹25,000.00 per month

Work Location: In person",https://in.indeed.com/viewjob?jk=085411c350718088,"₹18,000 - ₹25,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=EKTA+ELECTRICALS,0.0,4-5 years,Microsoft Excel Full-time In-person nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Data Processor,Kalamandir Jewellers,"Vesu, Surat, Gujarat","*Job Summary:*
We are looking for a detail-oriented Data Processor to handle data entry, tagging, and pricing tasks. The role involves updating product information, ensuring accurate pricing, and tagging items correctly in our system to support sales, analytics, and inventory management.

*Key Responsibilities:*

* Enter and update product data in the system
* Tag products with correct categories, attributes, and metadata
* Ensure pricing information is accurate and up to date
* Review and clean data for accuracy and consistency
* Generate and maintain reports as needed
* Collaborate with teams for data alignment

*Requirements:*

* High school diploma (degree preferred)
* Strong Excel and data entry skills
* Basic understanding of product categorization and pricing
* Excellent attention to detail and organization
* Ability to handle repetitive tasks with accuracy

Job Types: Full-time, Permanent

Pay: ₹15,000.00 - ₹25,000.00 per month

Benefits:
* Food provided
* Health insurance
* Leave encashment
* Provident Fund



Application Question(s):
* Current Salary:-
* Expected Salary:-
* Notice Period:-

Work Location: In person",https://in.indeed.com/viewjob?jk=981f8f264972ee73,"₹15,000 - ₹25,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=Kalamandir+Jewellers,3.8,3-4 years,Pricing Permanent Microsoft Excel Provident Fund Full-time Leave encashment Health insurance 12th Pass Data entry Notice period Typing In-person Food provided Office experience nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Student Support Mentor -work from home,EDUBEX,"Kochi, Kerala","We are seeking an *Student* *Support Mentor* to assist students with academic coordination, assignment guidance, and learning support. This role focuses on mentoring, communication, and administrative assistance to ensure a smooth academic experience for learners.

*Key Responsibilities*

* Guide students on academic processes, assignments, and submission timelines
* Share class schedules, session links, and academic updates via email or messaging platforms
* Support students in understanding course guidelines and academic expectations
* Assist in suggesting assignment topics as per curriculum requirements
* Coordinate with internal academic teams to resolve student queries
* Maintain accurate student records and reports using Excel or internal tools
* Provide continuous academic support throughout the course duration

*Eligibility Criteria*

* MBA or M.Com candidates ( Completed)
* Strong communication and coordination skills
* Basic knowledge of academic structures and documentation
* Comfortable using email, MS Excel, and online tools

Job Type: Full-time

Pay: ₹10,000.00 - ₹15,000.00 per month

Benefits:
* Work from home

Work Location: Remote",https://in.indeed.com/viewjob?jk=b5cfca4aaa219111,"₹10,000 - ₹15,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=EDUBEX,1.0,2-3 years,Microsoft Excel Full-time Remote Master's degree M.Com Administrative experience Work from home Business Administration MBA Communication skills nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Data Entry Operator/Computer Operator,Harbirzinc creative studio,"Reay Road, Mumbai, Maharashtra","*Habirzinc* is a growing company committed to delivering quality and efficiency in every area of our work. We're currently looking for a reliable *Data Entry Operator* who can support our operations and also assist with basic social media tasks.

*Job Summary:*

We are seeking a motivated and detail-oriented *Data Entry Operator* with 6 months to 1 year of experience. The ideal candidate should also have basic knowledge of social media platforms like Instagram, Facebook, and LinkedIn. This role requires accuracy, speed, and basic digital familiarity to support our administrative and online presence needs.

*Key Responsibilities:*

* Enter and update data in spreadsheets, databases, and internal systems accurately and efficiently.
* Review data for errors, correct any inconsistencies, and maintain data integrity.
* Organize and manage digital files and documents.
* Assist in posting basic updates on the company’s social media platforms.
* Coordinate with internal teams for data and content collection.
* Maintain confidentiality of company data at all times.
* Generate simple daily/weekly reports as required.

*Requirements:*

* 6 months to 1 year of data entry or administrative experience.
* Basic understanding of Microsoft Excel and Google Sheets.
* Familiarity with social media platforms (Facebook, Instagram, LinkedIn).
* Attention to detail and organizational skills.
* Ability to work independently and in a team.
* Minimum qualification: Graduated.

*Benefits:*

* Monthly salary ₹12,000 to ₹18,000 (based on experience and skills)
* Opportunity to grow in digital and administrative roles
* Friendly and supportive work environment
* Fixed working hours

Job Type: Full-time

Pay: ₹12,000.00 - ₹18,000.00 per month

Work Location: In person",https://in.indeed.com/viewjob?jk=9238ab034f2f15d8,"₹12,000 - ₹18,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=Harbirzinc+creative+,0.0,2-3 years,Microsoft Excel Full-time Administrative experience Bachelor's degree Data entry In-person nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Administrative Manager,RADON INDIA LLP,"Chandpole Bazar, Jaipur, Rajasthan","RADON India Pvt. Ltd. is a leading manufacturer of premium bathroom vanities and bathware products. We take pride in our state-of-the-art manufacturing facility and commitment to quality and innovation.

*Role Overview:*
We are looking for a proactive and detail-oriented *Admin Manager * to manage office operations, support administrative functions, and ensure smooth day-to-day activities.

*Key Responsibilities:*
✅ Managing office supplies, records, and general administration
✅ Coordinating with vendors, housekeeping, and facility management
✅ Handling employee attendance, travel arrangements, and documentation
✅ Assisting in HR & compliance-related tasks
✅ Maintaining smooth communication between departments

*Requirements:*
✔ Bachelor's degree in Business Administration or related field
✔ 2-5 years of experience in administrative roles
✔ Strong organizational and communication skills
✔ Proficiency in MS Office (Excel, Word, Outlook)
✔ Ability to multitask and handle responsibilities independently

*Why Join Us?*
✨ Work in a reputed & growing company in the bathware industry
✨ Supportive work environment with growth opportunities

Job Types: Full-time, Permanent

Pay: ₹45,000.00 - ₹50,000.00 per month

Work Location: In person",https://in.indeed.com/viewjob?jk=e3a417021d3bab20,"₹45,000 - ₹50,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=RADON+INDIA+LLP,0.0,4-5 years,Microsoft Word Permanent Microsoft Excel Microsoft Outlook Full-time Microsoft Office Administrative experience Bachelor's degree Business Administration In-person Communication skills nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Back Office Incharge,Generic Engineering Constructions and Project LTD,"Mumbai, Maharashtra","Job Description – Back Office Incharge
Position: Back Office Incharge
Experience Required: 2–5 Years
Salary Range: ₹30,000 – ₹40,000 per month
Location: [Specify Location]
Department: Operations / Administration
Employment Type: Full-Time
Role Overview
We are looking for a highly organized and detail-oriented Back Office Incharge to manage daily administrative operations, support internal teams, and ensure smooth functioning of back-end processes. The ideal candidate should have strong coordination skills, proficiency in documentation, and experience handling operational workflows.
Key Responsibilities
Administrative & Documentation
Manage and maintain company records, reports, and documentation.
Prepare MIS reports, daily/weekly operational updates, and data summaries.
Handle filing, data entry, and digital record maintenance.
Ensure accuracy and consistency in documentation and data management.
Operational Coordination
Coordinate with internal departments for seamless workflow and task execution.
Support HR, Accounts, and Project teams with required documentation and data.
Monitor ongoing tasks and follow up with concerned teams for timely completion.
Back Office Management
Oversee daily back-office functioning and ensure compliance with company processes.
Maintain inventory of office supplies and coordinate with vendors when required.
Manage email communication, schedules, and internal correspondence.
Client & Vendor Support
Assist in preparing quotations, invoices, purchase orders, and related documents.
Follow up with vendors/clients for pending documents or approvals.
Support customer service teams with backend operations and data.
Reporting & Tracking
Generate performance reports and submit them to management on time.
Track operational KPIs, project progress, and pending tasks.
Highlight any bottlenecks or issues and assist in process improvements.
Required Skills & Qualifications
Graduate in any discipline (Bachelor’s degree required).
2–5 years of experience in back-office operations or administrative roles.
Proficiency in MS Office (Excel, Word, PowerPoint) and email communication.
Strong organizational and multitasking abilities.
Good written and verbal communication skills.
Ability to work independently and handle multiple responsibilities.
Attention to detail with accuracy in data and documentation.
Additional Requirements
Ability to maintain confidentiality.
Strong coordination and follow-up skills.
Problem-solving attitude with a proactive approach.
Benefits
Competitive salary within the range of ₹30,000–₹40,000 per month.
Opportunity to grow within the organization.
Supportive and structured work environment.",https://in.indeed.com/viewjob?jk=477508f9368324f6,"₹30,000 - ₹40,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=Generic+Engineering+,3.9,1-2 years,Microsoft Powerpoint Microsoft Word Microsoft Excel Full-time Microsoft Office Administrative experience Bachelor's degree Data entry Communication skills nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Executive Data Entry (6-Months Contract Role),Rentokil Initial,"Mumbai, Maharashtra","Role - Junior Associates(Data Entry)4-Months Contract Role

Noted:

Only candidates residing along the Western Line can apply.
Applicants must be comfortable with a 4- 6 months contractual position through a third-party payroll.
Salary: 17,000 - 20,000 per month (gross)
Good communication skills are preferred.
Seeking immediate joiners.
Experience: 0 to 1 year (Graduate freshers from the 2024 or 2025 batch are welcome to apply).

About the Role:

The Junior Associates - iCABS will be responsible for inputting, updating, and maintaining data accurately in the system. The incumbent will work closely with various departments to ensure data integrity and assist with other administrative tasks as needed.

Job Responsibilities:

Accurately enter and update data into our systems and databases.
Verify the accuracy of data before inputting it.
Maintain and organise files and records.
Assist with data cleansing and reconciliation tasks.
Generate and review reports as required.
Address and resolve data discrepancies and errors.
Perform other administrative duties as assigned.

Key Result Areas:

Accuracy
Efficiency
Data Integrity
Compliance

Competencies (Skills essential to the role):

Proven experience as a Data Entry Operator or similar role will be perrefed.
Proficiency in Microsoft Office Suite (Word, Excel, etc.) and data entry software.
Strong attention to detail and accuracy.
Good organisational and time-management skills.
Ability to handle sensitive and confidential information.
Effective communication skills in English, both written and spoken.

Requirements

Educational Qualification / Other Requirement:

Any graduate fresher can apply for this role
Certifications in data entry will be an added advantage

Requirements

EDUCATIONAL / OTHER REQUIREMENTS:

Educational Qualification / Other Requirement:

Any graduate fresher can apply for this role
Certifications in data entry will be an added advantage

Benefits

Our values lie at the core of our mission and vision. We believe that it’s our people who make our company what it is. We believe in:
Safety
Integrity
Innovation
Learning & Development
Open & Transparent
Performance Orientation",https://in.indeed.com/viewjob?jk=eea5b1e0e850f0f2,"₹17,000 - ₹20,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/795ee484a4999d8f6c7d63251b79604c,3.7,3-4 years,Microsoft Word Microsoft Excel Full-time English Microsoft Office Bachelor's degree Data entry Communication skills Time management nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Visa Filing Officer,CanEd Consultants,Remote,"RP Immigration is a reputable immigration consultancy with headquarters in Canada, offering expert visa filing and advisory services to clients looking to immigrate to Canada. We pride ourselves on our commitment to excellence and providing personalized services to make the immigration process as seamless as possible. Our team is passionate, dedicated, and always looking to improve the immigration experience for our clients.

*Job Overview*
RP Immigration is seeking a highly organized and detail-oriented *Visa Filing Officer* to join our dynamic team. The successful candidate will be responsible for managing the visa filing process, ensuring that all documentation is accurate, complete, and submitted in compliance with Canadian immigration regulations. This is a *remote position*, allowing flexibility while contributing to a team-based work environment.

*Key Responsibilities*

* *Visa Application Management*: Assist clients in gathering all necessary documents and ensure the visa application forms are filled accurately and thoroughly.
* *Documentation Review*: Review clients' documents to ensure they meet the requirements set by Canadian immigration authorities.
* *Filing Visa Applications*: Submit completed visa applications to relevant immigration authorities, ensuring all submission deadlines are met.
* *Client Communication*: Provide regular updates to clients on the status of their visa applications and respond to inquiries in a timely manner.
* *Immigration Regulation Compliance*: Stay up-to-date with the latest Canadian immigration policies and regulations to ensure applications are compliant.
* *Case Tracking*: Maintain organized records of all ongoing visa applications and track their progress.
* *Coordination with Authorities*: Liaise with Canadian immigration officers or government agencies when required to clarify or submit additional documentation.
* *Problem Resolution*: Address and resolve any issues or challenges that may arise during the visa application process.
* *Reporting*: Regularly report the status of cases and document progress to management.

*Qualifications & Requirements*

* *Education*: Bachelor's degree in any field(Preferred)
* *Experience*: Minimum of 1 year of experience in Canadian immigration processes, particularly with visa filing or similar roles.
* *Knowledge*: Strong understanding of Canadian immigration laws, visa categories, and the application process.
* *Communication*: Excellent written and verbal communication skills in English (knowledge of additional languages is a plus).
* *Attention to Detail*: High attention to detail with the ability to manage multiple applications and deadlines simultaneously.
* *Tech-Savvy*: Proficient in Microsoft Office Suite (Word, Excel, PowerPoint) and familiar with visa filing software or immigration platforms.
* *Organizational Skills*: Ability to prioritize tasks and work independently in a remote work environment.
* *Team Player*: Capable of collaborating effectively with the team to meet organizational goals and deadlines.
* *Education*: A degree or diploma in a relevant field (e.g., Immigration Law, Business Administration, or related field) is preferred but not required.

*What We Offer*

* Competitive salary based on experience.
* Remote work flexibility with the option to work from home.
* Vacation & paid time off
* Opportunities for professional development and training in the immigration field.
* A dynamic and supportive team environment.

*Job Types: *Full-time, Regular / Permanent

*Salary*: ₹10,000.00 - ₹20,000.00 per month

Job Types: Full-time, Permanent

Pay: ₹10,000.00 - ₹20,000.00 per month

Benefits:
* Commuter assistance
* Flexible schedule
* Paid sick time
* Work from home



Experience:
* Visa filing: 1 year (Preferred)
* total work: 1 year (Preferred)

Shift availability:
* Night Shift (Required)

Work Location: Remote",https://in.indeed.com/viewjob?jk=5caa0ef2a00305f1,"₹10,000 - ₹20,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=CanEd+Consultants,0.0,0-1 years,Microsoft Powerpoint Microsoft Word Permanent Microsoft Excel Commuter assistance Visa filing Multilingual Engineering Filing Full-time English Microsoft Office Night shift Bachelor's degree Paid time off Work from home Hindi Diploma Documentation review Communication skills Flexible schedule Paid sick time nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Data Entry Operator,SUNSHINE MANPOWER SOLUTION AND SERVICES,"Ahmedabad, Gujarat","Ahmedabad, Aslali

Link Copied
RSS Feed

Urgently needed 1 DEO for the Aslali location.
CTC - 16K per month.
Excel & general computer knowledge are mandatory.

Experience 1 - 2 Years
Salary 90 Thousand To 1 Lac 50 Thousand P.A.
Industry Front Office / Reception / Computer Operator / Assistant
Qualification
Key Skills Online Data Entry Computer Operations Microsoft Excel Walk in",https://in.indeed.com/viewjob?jk=04b33e0e23f76d26,"₹16,000 a month",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cad867caa55c8148572ab63fedcf2f0d,0.0,1-2 years,Microsoft Excel Data entry Computer skills nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
Logistics Executive - Data Entry,Roots Recruitment Service,"Mumbai, Maharashtra","*Roles & Responsibilities :*

* Accurately enter, update, and maintain logistics and inventory data in MS Excel and company systems
* Coordinate with Operations teams, vendors, and clients for dispatch and delivery schedules
* Track shipments and update records in real-time to ensure smooth logistics flow
* Maintain confidentiality and ensure all records are securely stored

Job Types: Full-time, Permanent

Pay: ₹23,000.00 - ₹25,000.00 per month

Work Location: In person",https://in.indeed.com/viewjob?jk=5cb1c7a5cdca9414,"₹23,000 - ₹25,000 a month",https://dummyimage.com/256x256/007acc/ffffff&text=Roots+Recruitment+Se,0.0,4-5 years,Permanent Microsoft Excel Full-time Data entry In-person nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,Indeed
